id_cliente,receita_total,numero_transacoes,id_produto,id,nome
0,6804.099999999999,27,251,,
1,8023.82,30,88,1.0,Aaline
2,7884.75,38,545,2.0,Aarao
3,10362.73,32,104,3.0,Aaron
4,10030.43,41,32,4.0,Aba
5,7724.77,36,102,5.0,Abade
6,7942.5599999999995,24,351,6.0,Abadi
7,5087.64,21,695,7.0,Abadia
8,6757.55,25,608,8.0,Abadias
9,5605.31,24,342,9.0,Abadio
10,8251.28,27,10,10.0,Abaete
11,7772.38,27,116,11.0,Abd
12,7656.099999999999,35,8314,12.0,Abda
13,7863.54,37,248,13.0,Abdal
14,6584.88,29,702,14.0,Abdala
15,9474.98,32,360,15.0,Abdalla
16,7085.78,32,475,16.0,Abdallah
17,10020.14,32,626,17.0,Abdao
18,9359.59,35,699,18.0,Abde
19,9808.33,36,253,19.0,Abdeel
20,7296.91,28,84,20.0,Abdel
21,3756.3399999999997,14,1605,21.0,Abdenago
22,6990.13,23,124,22.0,Abdenego
23,7861.14,29,17,23.0,Abdenico
24,7231.8099999999995,32,213,24.0,Abdenigo
25,7463.93,31,60,25.0,Abdenio
26,5810.68,27,197,26.0,Abdenor
27,7919.21,29,162,27.0,Abder
28,6845.21,33,674,28.0,Abderman
29,3980.8,23,811,29.0,Abdi
30,6300.28,34,129,30.0,Abdia
31,9210.130000000001,26,664,31.0,Abdias
32,8942.550000000001,30,275,32.0,Abdiel
33,6247.5,28,99,33.0,Abdisio
34,8837.039999999999,33,130,34.0,Abdnego
35,8382.01,33,1766,35.0,Abdo
36,7805.81,26,638,36.0,Abdom
37,7092.36,25,149,37.0,Abdon
38,8332.4,35,290,38.0,Abdoral
39,5703.42,28,79,39.0,Abdu
40,7039.71,31,772,40.0,Abdul
41,8525.94,26,6692,41.0,Abe
42,7820.81,28,282,42.0,Abecio
43,11983.78,37,187,43.0,Abedenego
44,7065.08,35,217,44.0,Abedias
45,9801.98,31,83,45.0,Abediel
46,5488.82,24,85,46.0,Abednego
47,4678.77,20,204,47.0,Abedon
48,6232.87,28,34,48.0,Abegail
49,9205.36,28,217,49.0,Abegair
50,5532.02,25,677,50.0,Abeilard
51,9973.210000000001,33,5728,51.0,Abeildo
52,6117.58,26,452,52.0,Abeilton
53,9654.75,32,47,53.0,Abel
54,6996.27,26,612,54.0,Abela
55,9322.99,36,187,55.0,Abelar
56,12248.12,38,147,56.0,Abelard
57,7570.9400000000005,27,299,57.0,Abelarda
58,6855.71,25,222,58.0,Abelardo
59,6883.31,29,323,59.0,Abeli
60,6562.0,22,247,60.0,Abelice
61,7380.33,31,98,61.0,Abelicia
62,6955.27,27,688,62.0,Abelina
63,10149.0,30,198,63.0,Abelino
64,7902.139999999999,29,1033,64.0,Abelio
65,6210.29,33,314,65.0,Abelirio
66,4143.88,22,403,66.0,Abelita
67,8745.289999999999,34,159,67.0,Abelmar
68,8721.24,39,3699,68.0,Abelo
69,6077.67,26,215,69.0,Abelor
70,8949.22,35,448,70.0,Abelson
71,6645.95,25,246,71.0,Abemael
72,7696.56,28,402,72.0,Abemor
73,6470.26,29,665,73.0,Abenaias
74,7475.88,32,52,74.0,Abenaide
75,8248.87,28,143,75.0,Abenair
76,10623.24,36,212,76.0,Abenaldo
77,7415.4,28,87,77.0,Abene
78,8217.57,35,364,78.0,Abeneir
79,6449.57,27,929,79.0,Abenel
80,7082.68,24,283,80.0,Abener
81,5187.05,29,1573,81.0,Abenevaldo
82,8344.98,34,102,82.0,Abeni
83,5425.5,26,160,83.0,Abenias
84,8946.14,38,14,84.0,Abenicio
85,7818.43,30,379,85.0,Abenil
86,5739.860000000001,32,8149,86.0,Abenilde
87,7278.24,25,1127,87.0,Abenildes
88,4039.6,26,139,88.0,Abenildo
89,2833.92,16,322,89.0,Abenilson
90,5778.110000000001,22,206,90.0,Abenilton
91,6530.25,24,187,91.0,Abenilza
92,6260.4,30,596,92.0,Abenir
93,8951.16,30,1005,93.0,Abenita
94,7267.5599999999995,25,557,94.0,Abeniza
95,10013.21,27,201,95.0,Abenizia
96,6689.46,29,188,96.0,Abenone
97,3927.25,29,471,97.0,Abenor
98,7725.48,27,186,98.0,Aberaldo
99,12293.62,41,29,99.0,Abercio
100,6833.8,28,239,100.0,Aberlado
101,6852.97,33,422,101.0,Aberlan
102,6939.11,30,26,102.0,Aberlandia
103,5551.28,22,671,103.0,Aberlardo
104,8502.72,33,313,104.0,Aberlindo
105,5559.95,30,674,105.0,Aberson
106,5187.8,28,670,106.0,Aberval
107,9549.84,31,450,107.0,Abetino
108,9396.83,38,221,108.0,Abevaldo
